1	101	5
1	102	3
1	103	4
1	104	2
2	105	4
2	106	5
2	107	3
2	108	2
3	109	5
3	110	4
3	111	3
3	112	2
4	113	5
4	114	4
4	115	3
4	116	2
5	117	5
5	118	3
5	119	4
5	120	2
6	101	4
6	102	5
6	103	3
6	104	2
7	105	4
7	106	3
7	107	5
7	108	2
8	109	5
8	110	4
8	111	3
8	112	2
9	113	4
9	114	5
9	115	3
9	116	2
10	117	5
10	118	4
10	119	3
10	120	2
11	101	3
11	102	5
11	103	4
11	104	2
12	105	4
12	106	3
12	107	5
12	108	2
13	109	5
13	110	4
13	111	3
13	112	2
14	113	5
14	114	3
14	115	4
14	116	2
15	117	4
15	118	5
15	119	3
15	120	2
16	101	5
16	102	3
16	103	4
16	104	2
17	105	4
17	106	5
17	107	3
17	108	2
18	109	5
18	110	4
18	111	3
18	112	2
19	113	4
19	114	5
19	115	3
19	116	2
20	117	5
20	118	3
20	119	4
20	120	2
